rank,title,year,duration,rating,votes,scraped_date
1,The Shawshank Redemption,N/A,N/A,9.3, (3.2M,20260602
2,The Godfather,N/A,N/A,9.2, (2.2M,20260602
3,The Dark Knight,N/A,N/A,9.1, (3.2M,20260602
4,The Godfather Part II,N/A,N/A,9.0, (1.5M,20260602
5,12 Angry Men,N/A,N/A,9.0, (985K,20260602
6,The Lord of the Rings: The Return of the King,N/A,N/A,9.0, (2.2M,20260602
7,Schindler's List,N/A,N/A,9.0, (1.6M,20260602
8,The Lord of the Rings: The Fellowship of the Ring,N/A,N/A,8.9, (2.2M,20260602
9,Pulp Fiction,N/A,N/A,8.8, (2.4M,20260602
10,"The Good, the Bad and the Ugly",N/A,N/A,8.8, (891K,20260602
11,The Lord of the Rings: The Two Towers,N/A,N/A,8.8, (2M,20260602
12,Forrest Gump,N/A,N/A,8.8, (2.5M,20260602
13,Fight Club,N/A,N/A,8.8, (2.6M,20260602
14,Inception,N/A,N/A,8.8, (2.8M,20260602
15,Star Wars: Episode V - The Empire Strikes Back,N/A,N/A,8.7, (1.5M,20260602
16,The Matrix,N/A,N/A,8.7, (2.3M,20260602
17,GoodFellas,N/A,N/A,8.7, (1.4M,20260602
18,Interstellar,N/A,N/A,8.7, (2.5M,20260602
19,One Flew Over the Cuckoo's Nest,N/A,N/A,8.6, (1.2M,20260602
20,Seven,N/A,N/A,8.6, (2M,20260602
21,It's a Wonderful Life,N/A,N/A,8.6, (555K,20260602
22,The Silence of the Lambs,N/A,N/A,8.6, (1.7M,20260602
23,Saving Private Ryan,N/A,N/A,8.6, (1.6M,20260602
24,Seven Samurai,N/A,N/A,8.6, (402K,20260602
25,The Green Mile,N/A,N/A,8.6, (1.6M,20260602
26,City of God,N/A,N/A,8.6, (872K,20260602
27,Life Is Beautiful,N/A,N/A,8.6, (814K,20260602
28,Terminator 2: Judgment Day,N/A,N/A,8.6, (1.3M,20260602
29,Back to the Future,N/A,N/A,8.5, (1.5M,20260602
30,Star Wars: Episode IV - A New Hope,N/A,N/A,8.6, (1.6M,20260602
31,Spirited Away,N/A,N/A,8.6, (969K,20260602
32,Gladiator,N/A,N/A,8.5, (1.9M,20260602
